Sub_L [mm];Sub_W [mm];Sub_H [mm];R_out [mm];Ring_W [mm];Gap_W [mm];S [mm];t [mm];MS_W [mm];Freq [GHz];S(1,1) (Real);S(1,1) (Imag);S(1,2) (Real);S(1,2) (Imag);S(2,1) (Real);S(2,1) (Imag);S(2,2) (Real);S(2,2) (Imag)
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.68;0.1127949635403154;-0.14274131076522376;-0.8822513712510748;-0.35701030464806416;-0.8822513712510617;-0.35701030464805933;0.024311376832056177;-0.17544081232622433
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.69;0.11087800910448385;-0.14406398779144267;-0.8880139991132913;-0.34192383259000375;-0.8880139991132785;-0.3419238325899993;0.02031825037949533;-0.1757711054600435
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.7;0.10895245956879433;-0.14535313203736716;-0.8935230717994993;-0.326734495209963;-0.8935230717994859;-0.3267344952099583;0.016305613096783553;-0.1760114634175765
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.71;0.1070192764930372;-0.14660905883760897;-0.8987765481164778;-0.31144628101924227;-0.8987765481164652;-0.3114462810192378;0.01227542072620739;-0.1761612303798146
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.72;0.1050794037284428;-0.14783211642791308;-0.9037724405334759;-0.2960632214355746;-0.9037724405334636;-0.29606322143557057;0.008229642646186622;-0.17621978900397167
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.73;0.10313376635212819;-0.14902268533440594;-0.9085088160747766;-0.28058939029397684;-0.908508816074765;-0.28058939029397295;0.004170261175479484;-0.1761865604160019
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.74;0.1011832696201485;-0.1501811777309112;-0.9129837972127959;-0.2650289033383;-0.912983797212784;-0.2650289033382958;9.927089339992895e-05;-0.17606100418678347
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.75;0.09922879794013235;-0.151308036764913;-0.9171955627610869;-0.24938591769336996;-0.9171955627610743;-0.24938591769336568;-0.003981322023247875;-0.17584261829279202
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.76;0.09727121386445096;-0.15240373585278075;-0.921142348766635;-0.2336646313176552;-0.9211423487666229;-0.23366463131765144;-0.008069500445815366;-0.17553093906211747
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.77;0.09531135710485605;-0.15346877794489716;-0.9248224494008295;-0.21786928243639994;-0.9248224494008173;-0.2178692824363959;-0.01216323692137723;-0.17512554110671963
